"TestID","PreviousSource","Application","Role","Module","Feature","Scenario","PreviousResult","CurrentResult","Delta","ExecutionEnvironment","PreviousDefect","CurrentDefect","PreviousBlocker","CurrentBlocker","Evidence","Notes","PreviousEvidence"
"QA-0038","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Header actions","Header actions","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0039","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Location/address selector","Location/address selector","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0040","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Home search","Home search","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0041","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Category cards","Category cards","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0042","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Featured products","Featured products","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0043","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Featured services","Featured services","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0044","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Every product/service card","Every product/service card","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0045","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Bottom navigation","Bottom navigation","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0046","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Loading states","Loading states","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0047","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Empty states","Empty states","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0048","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","API-backed content comparison","API-backed content comparison","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0049","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Refresh behavior","Refresh behavior","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0050","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Home","Notifications","Notifications","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0051","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Category browse","Category browse","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0052","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Product list","Product list","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0053","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","Product detail","Product detail","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0054","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search empty","UI search empty","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0055","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search partial","UI search partial","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0056","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Catalog","UI search case","UI search case","BLOCKED","NOT TESTED","BLOCKED -> NOT TESTED","LOCAL; Development-2 096fe3c86e71c56302dc63a2004d87b5debb11cc","","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","This specific assertion was not independently executed; module loading does not certify all mutations or edge cases.","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
