id,application,module,feature,reason,evidence
"QA-0029","Customer","Authentication","Enter from password input submits login","Key was pressed but no action observed; keyboard submission contract not established","2026-09-13T16-09-59-533Z/results.json"
"QA-0525","Security","Abuse controls","Login rate-limit threshold","Only a small bounded sample was sent. No brute force or rate-limit threshold test; absence of 429 proves nothing",""
"QA-0526","Security","Abuse controls","OTP rate limit","Only a small bounded sample was sent. No brute force or rate-limit threshold test; absence of 429 proves nothing",""
"QA-0527","Security","Abuse controls","Resend rate limit","Only a small bounded sample was sent. No brute force or rate-limit threshold test; absence of 429 proves nothing",""
"QA-0528","Security","Abuse controls","Reset rate limit","Only a small bounded sample was sent. No brute force or rate-limit threshold test; absence of 429 proves nothing",""
"QA-0532","Security","Transport/headers","CSP exploitation path","Frontends lack CSP; no viable exploit established; absence alone is not a vulnerability",""
"QA-0609","Accessibility","Keyboard/semantics","Screen reader manual audit","No screen reader run or complete manual focus/target audit; native dialogs auto-dismissed during capture",""
"QA-0610","Accessibility","Keyboard/semantics","Modal focus trapping","No screen reader run or complete manual focus/target audit; native dialogs auto-dismissed during capture",""
"QA-0611","Accessibility","Keyboard/semantics","Modal focus restoration","No screen reader run or complete manual focus/target audit; native dialogs auto-dismissed during capture",""
"QA-0612","Accessibility","Keyboard/semantics","Escape dismissal","No screen reader run or complete manual focus/target audit; native dialogs auto-dismissed during capture",""
"QA-0613","Accessibility","Keyboard/semantics","Touch-target spacing comprehensive","No screen reader run or complete manual focus/target audit; native dialogs auto-dismissed during capture",""
"QA-0614","Accessibility","Keyboard/semantics","Heading/landmark manual audit","No screen reader run or complete manual focus/target audit; native dialogs auto-dismissed during capture",""
"QA-0631","Responsive","Chrome zoom","80%","Actual Chrome browser zoom was not exercised; viewport resizing is not substituted for browser zoom",""
"QA-0632","Responsive","Chrome zoom","100% explicit browser zoom","Actual Chrome browser zoom was not exercised; viewport resizing is not substituted for browser zoom",""
"QA-0633","Responsive","Chrome zoom","125%","Actual Chrome browser zoom was not exercised; viewport resizing is not substituted for browser zoom",""
"QA-0634","Responsive","Chrome zoom","150%","Actual Chrome browser zoom was not exercised; viewport resizing is not substituted for browser zoom",""
"QA-0635","Responsive","Chrome zoom","200%","Actual Chrome browser zoom was not exercised; viewport resizing is not substituted for browser zoom",""
"QA-0636","Responsive","Additional public screens","Onboarding all eight sizes","Captured representative public layouts; these two variants not independently swept at every viewport",""
"QA-0637","Responsive","Additional public screens","Plumber mobile-login all eight sizes","Captured representative public layouts; these two variants not independently swept at every viewport",""
