id,application,module,feature,role,status,reason,evidence
"QA-0001","Customer","Authentication","Successful login","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0002","Customer","Authentication","Session restore","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0003","Customer","Authentication","Refresh authenticated page","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0004","Customer","Authentication","Logout","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0005","Customer","Authentication","Protected route after logout","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0006","Customer","Authentication","Invalid password messaging from server","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0007","Customer","Authentication","Duplicate login server handling","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0008","Customer","Authentication","New authenticated tab","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0009","Customer","Authentication","Login with spaced email","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0010","Customer","Authentication","Expired session","CUSTOMER","BLOCKED","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0011","Customer","Authentication","Skip onboarding reaches login","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0012","Customer","Authentication","Next opens second onboarding screen","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0013","Customer","Authentication","Empty login click shows validation","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0014","Customer","Authentication","Empty login Space shows validation","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0015","Customer","Authentication","Registration entry","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0016","Customer","Authentication","Registration return link","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0017","Customer","Authentication","Registration back arrow","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0018","Customer","Authentication","Required full name validation","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0019","Customer","Authentication","Required email validation","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0020","Customer","Authentication","Malformed registration email validation","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0021","Customer","Authentication","Invalid registration phone validation","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0022","Customer","Authentication","Offline login shows Network Error without authenticated state","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0023","Customer","Authentication","Offline double click emits one login attempt","CUSTOMER","PASS","Observed state change or validation; scope limited to described assertion","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0024","Customer","Authentication","Browser email login integration","CUSTOMER","FAIL","BUG-PROD-BACKEND-001; current backend preflight rejects customer origin","2026-09-13T15-55-49-652Z/customer-login.json"
"QA-0025","Customer","Authentication","Google sign-in configuration feedback","CUSTOMER","FAIL","BUG-PROD-CUSTOMER-001/002: missing client ID exposes setup message; login arrow produces no navigation","2026-09-13T16-00-43-794Z/customer-actions.json; 2026-09-13T16-05-36-434Z/customer-actions.json"
"QA-0026","Customer","Authentication","Login back arrow navigation","CUSTOMER","FAIL","BUG-PROD-CUSTOMER-001/002: missing client ID exposes setup message; login arrow produces no navigation","2026-09-13T16-00-43-794Z/customer-actions.json; 2026-09-13T16-05-36-434Z/customer-actions.json"
"QA-0027","Customer","Authentication","Password visibility toggle","CUSTOMER","NOT APPLICABLE","No visibility toggle; deployed customer UI explicitly says OTP login coming later","2026-09-13T15-52-45-611Z/customer-04-registration.json"
