"ID","Application","Title","Severity","LocalRetestStatus","RemoteCertificationStatus","Evidence","Notes"
"BUG-PROD-CUSTOMER-001","Customer","Enabled Google button exposes missing-config instructions","Low","NO LONGER APPLICABLE TO LOCAL EXECUTION","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Current local interface/environment differs from the prior deployment assertion."
"BUG-PROD-CUSTOMER-002","Customer","Login back arrow has no observable destination","Low","NO LONGER APPLICABLE TO LOCAL EXECUTION","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Current local interface/environment differs from the prior deployment assertion."
"BUG-PROD-PLUMBER-002","Plumber","Invalid and empty authentication forms provide no feedback","Medium","STILL OPEN","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Observed in current browser evidence; no product code was patched."
"BUG-PROD-STORE-002","Store","Empty and partial login/registration forms fail silently","Medium","STILL OPEN","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Observed in current browser evidence; no product code was patched."
"BUG-PROD-PLUMBER-003","Plumber","OTP screen claims a code was sent without an initial send request","Medium","STILL OPEN","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Observed in current browser evidence; no product code was patched."
"BUG-PROD-PLUMBER-004","Plumber","Forgot-password and social controls give no feedback","Low","STILL OPEN","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Observed in current browser evidence; no product code was patched."
"BUG-PROD-STORE-003","Store","Forgot Password control gives no feedback","Low","STILL OPEN","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Observed in current browser evidence; no product code was patched."
"BUG-A11Y-001","Store","Nine registration inputs have no accessible names","High","STILL OPEN","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Observed in current browser evidence; no product code was patched."
"BUG-A11Y-003","Plumber","Six OTP inputs have no accessible names","High","STILL OPEN","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Observed in current browser evidence; no product code was patched."
"BUG-A11Y-004","Plumber","Small supporting text falls below 4.5:1 contrast","Medium","STILL OPEN","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Observed in current browser evidence; no product code was patched."
"BUG-A11Y-005","Plumber","Tabs and remember control lack roles/state; Sign up is absent from tab loop","Medium","PARTIALLY FIXED","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Observed in current browser evidence; no product code was patched."
"ENV-DEPLOY-001","Backend","Public mobile-web aliases are behind backend and repository HEAD","High","NO LONGER APPLICABLE TO LOCAL EXECUTION","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Current local interface/environment differs from the prior deployment assertion."
"ENV-ADMIN-003","Admin","Runbook admin URL points to a different authentication surface","Medium","NO LONGER APPLICABLE TO LOCAL EXECUTION","NOT RETESTED; prior deployed finding remains uncertified","logs/public-focused-recovery.json; logs/accessibility-continuation.json","Current local interface/environment differs from the prior deployment assertion."
