"Previous Test ID","Source File","Application","Role","Module","Feature","Scenario","Precondition","Steps","Expected","Previous Result","Previous Defect","Previous Blocker","Previous Evidence"
"QA-0001","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Successful login","Successful login","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Successful login","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0002","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Session restore","Session restore","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Session restore","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0003","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Refresh authenticated page","Refresh authenticated page","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Refresh authenticated page","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0004","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Logout","Logout","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Logout","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0005","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Protected route after logout","Protected route after logout","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Protected route after logout","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0006","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Invalid password messaging from server","Invalid password messaging from server","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Invalid password messaging from server","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0007","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Duplicate login server handling","Duplicate login server handling","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Duplicate login server handling","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0008","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","New authenticated tab","New authenticated tab","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","New authenticated tab","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0009","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Login with spaced email","Login with spaced email","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Login with spaced email","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0010","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Expired session","Expired session","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.","Expired session","Behavior described by historical assertion","BLOCKED","","No authenticated browser session: incorrect backend/CORS and unusable repository QA credential; do not bypass.",""
"QA-0011","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Skip onboarding reaches login","Skip onboarding reaches login","See source evidence","Skip onboarding reaches login","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0012","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Next opens second onboarding screen","Next opens second onboarding screen","See source evidence","Next opens second onboarding screen","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0013","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Empty login click shows validation","Empty login click shows validation","See source evidence","Empty login click shows validation","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0014","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Empty login Space shows validation","Empty login Space shows validation","See source evidence","Empty login Space shows validation","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0015","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Registration entry","Registration entry","See source evidence","Registration entry","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0016","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Registration return link","Registration return link","See source evidence","Registration return link","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
"QA-0017","reports/full-e2e-qa/coverage-cases.csv","Customer","CUSTOMER","Authentication","Registration back arrow","Registration back arrow","See source evidence","Registration back arrow","Behavior described by historical assertion","PASS","","","2026-09-13T16-09-59-533Z/results.json; 2026-09-13T16-05-36-434Z/customer-actions.json; 2026-09-13T15-55-49-652Z/customer-empty.json"
